seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0000,A2_e_d.mp3,A1_i_b.mp3,A3_i_g.mp3,B1_o_p.mp3,B1_u_p.mp3,B2_u_t.mp3
seq_0001,A1_e_b.mp3,A2_e_d.mp3,A3_i_g.mp3,B3_o_k.mp3,B2_o_t.mp3,B3_u_k.mp3
seq_0002,A2_i_d.mp3,A1_e_b.mp3,A3_i_g.mp3,B3_o_k.mp3,B1_u_p.mp3,B3_u_k.mp3
seq_0003,A1_i_b.mp3,A2_e_d.mp3,A3_e_g.mp3,B3_u_k.mp3,B2_u_t.mp3,B3_o_k.mp3
seq_0004,A3_i_g.mp3,A1_e_b.mp3,A2_e_d.mp3,B2_o_t.mp3,B2_u_t.mp3,B3_o_k.mp3
seq_0005,A1_i_b.mp3,A3_e_g.mp3,A2_e_d.mp3,B2_u_t.mp3,B2_u_t.mp3,B1_o_p.mp3
seq_0006,A2_e_d.mp3,A1_i_b.mp3,A3_i_g.mp3,B3_o_k.mp3,B1_u_p.mp3,B1_u_p.mp3
seq_0007,A1_i_b.mp3,A3_e_g.mp3,A2_e_d.mp3,B2_u_t.mp3,B3_o_k.mp3,B2_u_t.mp3
seq_0008,A2_e_d.mp3,A1_e_b.mp3,A3_i_g.mp3,B3_u_k.mp3,B3_o_k.mp3,B2_u_t.mp3
seq_0009,A3_i_g.mp3,A2_e_d.mp3,A1_i_b.mp3,B3_u_k.mp3,B2_u_t.mp3,B3_u_k.mp3
seq_0010,A3_e_g.mp3,A2_e_d.mp3,A1_e_b.mp3,B2_u_t.mp3,B2_u_t.mp3,B3_u_k.mp3
seq_0011,A2_e_d.mp3,A1_i_b.mp3,A3_e_g.mp3,B3_u_k.mp3,B2_u_t.mp3,B2_u_t.mp3
seq_0012,A3_e_g.mp3,A1_i_b.mp3,A2_e_d.mp3,B2_u_t.mp3,B1_o_p.mp3,B1_u_p.mp3
seq_0013,A1_i_b.mp3,A2_i_d.mp3,A3_i_g.mp3,B3_o_k.mp3,B2_u_t.mp3,B3_o_k.mp3
seq_0014,A1_e_b.mp3,A2_e_d.mp3,A3_i_g.mp3,B2_o_t.mp3,B2_u_t.mp3,B1_o_p.mp3
seq_0015,A3_i_g.mp3,A1_e_b.mp3,A2_e_d.mp3,B2_u_t.mp3,B2_o_t.mp3,B3_o_k.mp3
seq_0016,A2_e_d.mp3,A3_i_g.mp3,A1_e_b.mp3,B2_u_t.mp3,B3_u_k.mp3,B2_u_t.mp3
seq_0017,A1_i_b.mp3,A3_i_g.mp3,A2_i_d.mp3,B2_u_t.mp3,B1_u_p.mp3,B1_o_p.mp3
seq_0018,A3_i_g.mp3,A2_e_d.mp3,A1_e_b.mp3,B1_o_p.mp3,B3_u_k.mp3,B3_u_k.mp3
seq_0019,A3_i_g.mp3,A1_i_b.mp3,A2_i_d.mp3,B2_o_t.mp3,B3_o_k.mp3,B3_u_k.mp3
seq_0020,A1_i_b.mp3,A2_e_d.mp3,A3_i_g.mp3,B3_u_k.mp3,B2_o_t.mp3,B3_o_k.mp3
seq_0021,A1_i_b.mp3,A2_i_d.mp3,A3_e_g.mp3,B3_u_k.mp3,B1_u_p.mp3,B1_o_p.mp3
seq_0022,A2_i_d.mp3,A3_i_g.mp3,A1_i_b.mp3,B1_u_p.mp3,B2_o_t.mp3,B2_o_t.mp3
seq_0023,A1_i_b.mp3,A3_e_g.mp3,A2_i_d.mp3,B2_u_t.mp3,B1_o_p.mp3,B1_u_p.mp3
seq_0024,A2_e_d.mp3,A1_e_b.mp3,A3_i_g.mp3,B3_u_k.mp3,B3_u_k.mp3,B2_u_t.mp3
seq_0025,A1_e_b.mp3,A3_e_g.mp3,A2_i_d.mp3,B1_u_p.mp3,B3_o_k.mp3,B1_o_p.mp3
seq_0026,A1_i_b.mp3,A2_e_d.mp3,A3_i_g.mp3,B3_o_k.mp3,B2_o_t.mp3,B3_u_k.mp3
seq_0027,A2_e_d.mp3,A1_e_b.mp3,A3_i_g.mp3,B1_u_p.mp3,B1_u_p.mp3,B2_o_t.mp3
seq_0028,A3_e_g.mp3,A1_i_b.mp3,A2_i_d.mp3,B2_u_t.mp3,B1_u_p.mp3,B2_o_t.mp3
seq_0029,A3_i_g.mp3,A2_i_d.mp3,A1_i_b.mp3,B1_u_p.mp3,B3_o_k.mp3,B3_u_k.mp3
seq_0030,A3_i_g.mp3,A1_e_b.mp3,A2_i_d.mp3,B3_u_k.mp3,B1_o_p.mp3,B3_u_k.mp3
seq_0031,A2_i_d.mp3,A3_i_g.mp3,A1_e_b.mp3,B2_o_t.mp3,B3_o_k.mp3,B2_u_t.mp3
seq_0032,A3_i_g.mp3,A1_e_b.mp3,A2_i_d.mp3,B1_u_p.mp3,B1_u_p.mp3,B3_o_k.mp3
seq_0033,A2_e_d.mp3,A3_i_g.mp3,A1_e_b.mp3,B2_u_t.mp3,B3_u_k.mp3,B2_o_t.mp3
seq_0034,A1_e_b.mp3,A3_e_g.mp3,A2_e_d.mp3,B2_u_t.mp3,B3_o_k.mp3,B2_u_t.mp3
seq_0035,A3_e_g.mp3,A2_e_d.mp3,A1_e_b.mp3,B2_o_t.mp3,B2_o_t.mp3,B3_o_k.mp3
seq_0036,A1_e_b.mp3,A3_e_g.mp3,A2_i_d.mp3,B2_u_t.mp3,B3_u_k.mp3,B2_u_t.mp3
seq_0037,A2_i_d.mp3,A3_e_g.mp3,A1_e_b.mp3,B3_u_k.mp3,B3_u_k.mp3,B2_u_t.mp3
seq_0038,A3_i_g.mp3,A1_i_b.mp3,A2_e_d.mp3,B2_o_t.mp3,B1_u_p.mp3,B1_u_p.mp3
seq_0039,A3_i_g.mp3,A1_i_b.mp3,A2_e_d.mp3,B2_o_t.mp3,B1_u_p.mp3,B2_u_t.mp3
seq_0040,A3_i_g.mp3,A2_i_d.mp3,A1_e_b.mp3,B2_u_t.mp3,B2_o_t.mp3,B3_o_k.mp3
seq_0041,A3_e_g.mp3,A2_e_d.mp3,A1_i_b.mp3,B1_o_p.mp3,B1_u_p.mp3,B3_o_k.mp3
seq_0042,A2_e_d.mp3,A3_e_g.mp3,A1_i_b.mp3,B1_o_p.mp3,B3_u_k.mp3,B3_u_k.mp3
seq_0043,A2_i_d.mp3,A3_i_g.mp3,A1_i_b.mp3,B1_o_p.mp3,B2_u_t.mp3,B2_o_t.mp3
seq_0044,A1_i_b.mp3,A2_i_d.mp3,A3_e_g.mp3,B1_o_p.mp3,B2_o_t.mp3,B1_o_p.mp3
seq_0045,A2_e_d.mp3,A3_e_g.mp3,A1_i_b.mp3,B1_o_p.mp3,B1_u_p.mp3,B2_o_t.mp3
seq_0046,A3_e_g.mp3,A1_e_b.mp3,A2_e_d.mp3,B2_o_t.mp3,B2_o_t.mp3,B3_u_k.mp3
seq_0047,A2_i_d.mp3,A3_e_g.mp3,A1_e_b.mp3,B1_u_p.mp3,B1_o_p.mp3,B2_u_t.mp3
seq_0048,A2_e_d.mp3,A3_i_g.mp3,A1_i_b.mp3,B1_o_p.mp3,B2_o_t.mp3,B2_o_t.mp3
seq_0049,A1_i_b.mp3,A3_i_g.mp3,A2_e_d.mp3,B2_u_t.mp3,B1_o_p.mp3,B1_o_p.mp3
